acc_x,acc_y,acc_z,ecg,emg,eda,temp,resp,label
-0.44114103971821533,-0.3324637744226829,-0.8427839580604368,-0.6277232549763583,-1.0144138556363882,-0.5372375914390398,1.1421979688553583,-0.3048284279405721,0
-0.49909464381733437,-0.3052121817321845,-0.8551288136780961,-0.6216546974982821,-1.0135108235945305,-0.5272552708089032,0.5073223028310658,-0.29794519799135216,0
-0.4718225985814331,-0.3256508762500583,-0.8366118368342231,-0.6285901917589406,-1.0085441473643142,-0.5161638034420848,-0.28930512523763235,-0.30071268219773956,0
-0.45477706233616594,-0.3052121817321845,-0.8242669812165638,-0.6238220394547379,-1.0175744677828895,-0.511410317427734,0.034198398851179056,-0.3034517819507281,0
-0.49909464381733437,-0.2915874005706892,-0.8417553733836065,-0.6277232549763583,-1.0189290158456759,-0.5044385379400196,-1.5145747227240058,-0.29794519799135216,0
-0.5229571754259191,-0.27114870605281544,-0.8386693127704997,-0.6294571285415229,-1.0180259838038184,-0.4987343547227987,-0.7644509262430741,-0.29451067913009193,0
-0.5229571754259191,-0.2847745023980646,-0.8170659687309039,-0.6199208239331174,-1.018477499824747,-0.49160412570127254,-0.6370714136331046,-0.30277055506915584,0
-0.5638632113884556,-0.2575229097075662,-0.8283819330891169,-0.626856318193776,-1.0189290158456759,-0.4852661443488049,-1.5509688691839971,-0.3034517819507281,0
-0.5229571754259191,-0.2643358078801908,-0.8294108243485632,-0.6246889762373202,-1.0139623396154593,-0.4752838237186683,0.9925775889642829,-0.2443269655209339,0
-0.5161381481712861,-0.2575229097075662,-0.8386693127704997,-0.6272897865850672,-1.0157684036991743,-0.4730655302453046,3.428963504758144,-0.30207513596088414,0
-0.5229571754259191,-0.243897113362317,-0.8366118368342231,-0.6207877607156997,-1.0130593075736019,-0.47211483304243446,1.9428691909751663,-0.29932184398119616,0
-0.5604557296524546,-0.2643358078801908,-0.8479278011924362,-0.6259893814111936,-1.010801727468958,-0.47179793397481107,-0.5561955326109018,-0.29794519799135216,0
-0.5297741707892367,-0.2507100115349416,-0.8736457905219691,-0.6233885710634467,-1.004932019196884,-0.473382429312928,-1.1627646402774232,-0.30071268219773956,0
-0.5434101934071874,-0.2915874005706892,-0.8448414339967133,-0.6285901917589406,-1.0175744677828895,-0.47465002558342156,1.0026870740920584,-0.29932184398119616,0
-0.5297741707892367,-0.3188379780774337,-0.8571862896143727,-0.6303240653241052,-1.0175744677828895,-0.473382429312928,0.855088591226538,-0.30000307086276845,0
-0.5161381481712861,-0.2847745023980646,-0.8468989099329899,-0.6225216342808644,-1.0193805318666045,-0.47385777791436307,0.40420555452775714,-0.29726397110977987,0
-0.550227188770505,-0.2847745023980646,-0.8345543608979465,-0.6259893814111936,-1.0202835639084622,-0.4698965395690708,-0.0749840405287948,-0.29932184398119616,0
-0.5161381481712861,-0.2847745023980646,-0.8283819330891169,-0.6225216342808644,-1.018477499824747,-0.46419235635184986,-0.6613341779397655,-0.29520609823836363,0
